編號,案件類型,發生日期,發生時段,發生地點,定位地點,lat,lon
984,住宅竊盜,1050713,01~03,台北市萬華區長沙街2段121~150號,台北市萬華區長沙街2段121 號,25.040533,121.503437
985,住宅竊盜,1050713,01~03,台北市北投區湖山里湖山路2段91~120號,台北市北投區湖山里湖山路2段91 號,25.1598176,121.5350323
986,住宅竊盜,1050714,10~12,台北市南港區中研里研究院路二段12巷57弄61~90號,台北市南港區中研里研究院路二段12巷57弄61號,25.0483542,121.6138111
987,住宅竊盜,1050715,01~03,台北市松山區塔悠路186巷1~30號,台北市松山區塔悠路186巷1 號,25.0496798,121.571869
988,住宅竊盜,1050716,22~24,台北市文山區萬祥里景明街61~90號,台北市文山區萬祥里景明街61號,25.0003783,121.5406304
989,住宅竊盜,1050716,22~24,台北市大同區玉泉里延平北路1段66巷1~30號,台北市大同區玉泉里延平北路1段66巷1 號,25.0516115,121.5117544
990,住宅竊盜,1050717,10~12,台北市中山區中山北路三段55巷1~30號,台北市中山區中山北路三段55巷1號,25.0678733,121.5236812
991,住宅竊盜,1050719,22~24,台北市中山區龍江路37巷1~30號,台北市中山區龍江路37巷1 號,25.0488164,121.5404168
992,住宅竊盜,1050720,01~03,台北市中正區板溪里牯嶺街91~120號,台北市中正區板溪里牯嶺街91 號,25.025309,121.5212031
993,住宅竊盜,1050720,13~15,台北市大同區光能里南京西路61~90號,台北市大同區光能里南京西路61 號,25.0530963,121.5191378
994,住宅竊盜,1050721,10~12,台北市北投區長安里溫泉路61~90號,台北市北投區長安里溫泉路61號,25.1345639,121.5041621
995,住宅竊盜,1050721,19~21,台北市文山區萬美里027鄰萬寧街151~180號,台北市文山區萬美里027鄰萬寧街151號,25.003469,121.570798
996,住宅竊盜,1050722,01~03,台北市士林區菁山里菁山路121~150號,台北市士林區菁山里菁山路121 號,25.1451059,121.561119
997,住宅竊盜,1050722,07~09,台北市內湖區潭美街211~240號,台北市內湖區潭美街211號,25.0557883,121.5846401
998,住宅竊盜,1050722,19~21,台北市中山區合江街58巷1~30號,台北市中山區合江街58巷1號,25.0558319,121.538936
999,住宅竊盜,1050723,22~24,台北市中正區愛國里中華路2段81巷1~30號,台北市中正區愛國里中華路2段81巷1 號,25.0332206,121.5062976
1000,住宅竊盜,1050725,13~15,台北市松山區撫遠街300巷1~30號,台北市松山區撫遠街300巷1 號,25.0650493,121.5659252
1001,住宅竊盜,1050726,19~21,台北市士林區永倫里5鄰社中街346巷2弄31~60號,台北市士林區永倫里5鄰社中街346巷2弄31號,25.0925323,121.5054411
1002,住宅竊盜,1050727,01~03,台北市中山區民族東路410巷1~30號,台北市中山區民族東路410巷1號,25.067982,121.538412
1003,住宅竊盜,1050727,01~03,台北市中山區龍江路394巷31~60號,台北市中山區龍江路394巷31號,25.067313,121.539788
1004,住宅竊盜,1050727,16~18,台北市士林區公館里2鄰永公路340巷61~90號,台北市士林區公館里2鄰永公路340巷61號,25.1191942,121.5633872
1005,住宅竊盜,1050728,07~09,台北市南港區成福里成福路121巷1~30號,台北市南港區成福里成福路121巷1號,25.0420264,121.5877587
1006,住宅竊盜,1050728,22~24,台北市北投區石牌里致遠一路一段46巷21弄1~30號,台北市北投區石牌里致遠一路一段46巷21弄1號,25.1096999,121.516577
1007,住宅竊盜,1050729,01~03,台北市中山區民權東路2段1~30號,台北市中山區民權東路2段1 號,25.0628844,121.5280983
1008,住宅竊盜,1050731,01~03,台北市大安區通化里信義路四段378巷1~30號,台北市大安區通化里信義路四段378巷1號,25.0325329,121.5556591
1009,住宅竊盜,1050731,22~24,台北市信義區松光里林口街1~30號,台北市信義區松光里林口街1 號,25.036479,121.579016
1010,住宅竊盜,1050731,22~24,台北市中正區水源里羅斯福路4段61~90號,台北市中正區水源里羅斯福路4段61 號,25.0148199,121.5341005
1011,住宅竊盜,1050801,10~12,台北市北投區公館路209巷38弄1~30號,台北市北投區公館路209巷38弄1 號,25.127948,121.509487
1012,住宅竊盜,1050801,16~18,台北市中山區新生北路3段1~30號,台北市中山區新生北路3段1 號,25.0630072,121.5281446
1013,住宅竊盜,1050801,22~24,台北市內湖區內湖路一段301~330號,台北市內湖區內湖路一段301 號,25.0822304,121.5672945
1014,住宅竊盜,1050801,22~24,台北市北投區溫泉里溫泉路61~90號,台北市北投區溫泉里溫泉路61 號,25.1349687,121.5046006
1015,住宅竊盜,1050802,04~06,台北市士林區天玉里5鄰天母北路1~30號,台北市士林區天玉里5鄰天母北路1 號,25.118868,121.526361
1016,住宅竊盜,1050802,04~06,台北市中山區撫順街1~30號,台北市中山區撫順街1 號,25.0635339,121.520902
1017,住宅竊盜,1050805,04~06,台北市信義區三犁里松勤街140巷1~30號,台北市信義區三犁里松勤街140巷1 號,25.0322281,121.5604846
1018,住宅竊盜,1050805,16~18,台北市北投區清江里清江路31~60號,台北市北投區清江里清江路31 號,25.131244,121.5020297
1019,住宅竊盜,1050808,04~06,台北市南港區三重里新民街31~60號,台北市南港區三重里新民街31 號,25.0560946,121.6130265
1020,住宅竊盜,1050808,16~18,台北市北投區吉利里13鄰吉利街280巷27弄1~30號,台北市北投區吉利里13鄰吉利街280巷27弄1 號,25.1178339,121.5100692
